"score","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61"
0,0.3675,0.0958266666666667,0.536673333333333,"en","JAMES
BEARD
FOUNDATION
PRESENTED BY
WOODFORD
RESERVE
CRAFTED CAREFULLY
DRINK RESPONSIBLY
WOODFOAD RESERVE DSTILLERS SELECT
24 ALC SV WCa_ THE wOODFORD RESERVE STILLER.
","/Food & Drink/Beverages/Alcoholic Beverages",0.3,0.3,0.064,0.008,0.968415194100459,143,0,0,0,0,0,0,0.727933333333333,0.02912,0.142666666666667,0.532,9,1,0.245537433333333,0.194816582872433,323,47.5268,61.4419844785259,250,0.6490373,0.291523809960353,232,0.603906666666667,0.489087511641297,2,0,0,0,0,"Woodford Reserve Bourbon Whiskey","food","  15",4,0,0.004,15.6,0,15.6,9.8,0.822542842741935,0.847857862903226,0.820526713709677,0.371722659480976,0.438425679285591,0.0399999999999999,1016,282.597402597403,25468.2692307692,1062.74206315888,"distilled beverage,liqueur,drink,alcoholic beverage,glass bottle,whisky,font,alcohol,wine,bottle,pottedplant,cup,book"
0,0.33,0.0714133333333333,0.598586666666667,"en","WE LOAN OVER
A HUNDRED SPECIALTY FIND AN AUTOZONE
TOOLS FOR FREE
","/Sports/Motor Sports; /Autos & Vehicles",0.3,0.3,0.06,0.04,1,53,0,0,0,1,0,0,0.05768,0,0.221333333333333,0.525333333333333,17,1,0.443061533333333,0.401727273131506,350,75.47888,100.439023395182,272,0.637626233333333,0.363795645400134,254,0.56252,0.496079157857303,2,0,0,0,0,"AutoZone","auto"," 116",8,0,0.288,17,0,17,9.8,0.712588205645161,0.734488407258065,0.666733870967742,0.285138164136622,0.388213294204436,0.02,1256,236.333333333333,27236.6588235294,1589.2137959871,"motor vehicle,racing,car,auto racing,race track,advertising,motorsport,automotive design,race,auto race"
1,0.515,0,0.485,"en","","/Autos & Vehicles/Vehicle Shopping",0.7,0.7,0,0,NA,0,0,0,0,0,0,0,0.02072,0,0.549333333333333,0.36,11,3,0.164467833333333,0.260622736034508,308,78.1361733333333,98.7633172424242,164,0.111694833333333,0.17295373455512,227,0.02168,0.145637427893629,2,0,0,0,0,"Lexus Range","auto"," 223",0,0,0.2,8.8,1.4,10.2,8.4,0.555972782258064,0.591708669354839,0.54765625,0.367454980755132,0.621006586156294,0.00750000000000001,133,233.98,13438.6470588235,1148.66717239642,"car,land vehicle,vehicle,motor vehicle,mode of transport,sky,luxury vehicle,family car,tree,plant"
0,0.275,0.155893333333333,0.569106666666667,"en","TAYTORARK
BOOK NOW
FOR DISCOUNT
","/Games",0.1,0.1,0.116,0.056,1,27,1,0,0,0,0,0.02524,0.219506666666667,0.0173333333333333,0.204,0.622666666666667,20,3,0.6252546,0.346960083097221,399,133.884893333333,73.3773225200272,285,0.731184033333333,0.245892343290701,249,0.619786666666667,0.485442372013585,2,0,0,0,0,"Tayto Crisps","othr","  10",0,0,-Inf,11.2,1,11.4,9.8,0.887663810483871,0.944102822580645,0.90515372983871,0.399475941460253,0.423127578803664,0.0875,3841,467.75,39635.8360655738,1466.01232578183,"games,grass,organism,advertising,recreation,farm,play,graphics,person,dog,sheep,train"
0,0.2825,0.209693333333333,0.507806666666667,"en","15 PIRELLI P4 FOUR
SEASONS PLUS
PRICE MATCH
GUARA
12795
P4
PLUS TAX
FROM
Certified Service
FIND MY DEALER
","/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories",-0.1,0.1,0.26,-0.008,0.371590258790615,87,0,0,0,0,0,0,0,0.00804,0.308,0.628,13,1,0.116277333333333,0.281822362616613,392,41.3214133333333,70.4085549134281,232,0.752148566666667,0.330692545040561,256,0.719653333333333,0.449171574371752,2,0,0,0,0,"GM Certified Service","auto","  31",2,0,0.084,0.2,19.2,9.6,9.6,0.432825100806452,0.434488407258065,0.431426411290323,0.431426411290323,0.99295264058467,0.00250000000000006,32,3.625,30068.3298969072,27.303358176195,"tire,automotive tire,product,wheel,automotive wheel system,tread,synthetic rubber,auto part,brand"
1,0.245,0.08592,0.66908,"af","LURPAK
WITH LURPAK
dairy butter
INSPIRE MI
","/Food & Drink/Food/Baked Goods",0.5,0.5,0.104,0.02,0.997206703910615,35,0,0,0,0,0,0,0.29392,0,0.0933333333333333,0.64,27,2,0.236504466666667,0.227437051983365,298,117.93516,110.253335640007,223,0.414868933333333,0.263257641325005,252,0.26852,0.443192541147051,2,0,0,0,0,"Lurpak Range","food","  15",0,0,0.00266666666666667,19,0,19,9.2,0.835446068548387,0.86515877016129,0.835735887096774,0.110488911290323,0.127709404448069,0.0375,-209,260.223404255319,30905.6315789474,531.871646103016,"food,baking,dairy product,dessert,flavor,recipe,breakfast,bowl,orange,cake"
0,0.4025,0.255066666666667,0.342433333333333,"en","TAKE A
WALK WITH
THE DOG PEOPLE
RoveBook a Walk
THE DOG PEOPLE
","",0,0,0.136,0.02,0.648144276006273,50,0,0,0,0,0,0.0983866666666667,0.168,0,0.274666666666667,0.353333333333333,8,4,0.6014405,0.266502278018918,399,104.13448,40.7207193472323,248,0.394561166666667,0.237339313518225,245,0.126906666666667,0.332870608485413,2,0,0,0,0,"Rover.com","tech","  25",0,0,0.00266666666666667,3,15.8,9,9,0.909223790322581,0.934009576612903,0.914931955645161,0.211489415322581,0.226431741834518,0.3325,734,34.9677419354839,48814.9787234043,369.379513981069,"plant,grass,lawn,ecosystem,grass family,yard,garden,shrub,tree,landscaping,person,broccoli"
0,0.565,0.18364,0.25136,"en","BET  OR MORE ON ANY
BIG BASH GAME AND GET
BONUS BETS
TO MATCH A CHOSEN DAILY
PLAYERS RUNS UP TO *
*Conditions apply. Single bets only. Excludes NSW, SA and WA customers.
Gamble Responsibly. Call Gamblers Help 1800 858858 or visit www.gambinghelponline.org.au
","",-0.1,1.4,0.068,0.02,0.669716111232121,209,0,0,0,0,0,0.530933333333333,0,0.00924,0.401333333333333,0.238666666666667,11,3,0.0200497,0.112244202953759,118,3.77929333333333,20.2248799545892,12,0.210703033333333,0.239842708501071,254,0.13124,0.337664896953229,2,0,0,0,0,"UBET",NA,"  62",2,0,0.142666666666667,10.8,6.4,17.2,9.6,0.540826612903226,0.887878024193548,0.534702620967742,0.125701678240741,0.141575390780636,0.1525,3728,372.964705882353,19800.0930232558,4636.84076431333,"text,advertising,product,font,technology,brand,product design,logo,banner,graphic design,person"
0,0,0,1,"en","","/Arts & Entertainment",0.6,0.6,0,0,NA,0,0,0,0,0,0,0,0,0,-Inf,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,"Swarovski Corporate","art","  32",0,0,1,9.2,7.4,16.6,14.2,0.836479334677419,0.902457157258065,0.849407762096774,0.79421622983871,0.880059760678032,-0.74,6302,1566.48780487805,14949.0722891566,14114.6873001167,"black,black and white,text,sky,atmosphere,darkness,monochrome photography,monochrome,font,phenomenon"
0,0.3325,0.0499066666666667,0.617593333333333,"en","BEDROCK
lHOMES
FIND OUT MORE
","/Real Estate/Real Estate Listings",0.2,0.2,0.064,0.036,0.707453913972749,24,0,0,0,0,0,0.541626666666667,0.03384,0,0.252,0.588,8,1,0.0981043333333333,0.125025642836608,268,146.38072,127.437676861155,220,0.771434333333333,0.275729642123759,210,0.815333333333333,0.388029504609518,2,0,0,0,0,NA,"othr","   0",6,0,0.068,7.6,8.4,16,14,0.860773689516129,0.999269153225806,0.834639616935484,0.291237465513582,0.29145047115026,0.2025,187,304.772151898734,24815.4125,4232.191435495,"home,property,house,siding,residential area,real estate,elevation,building,window,facade,person,bottle"
